,gsis_id,ra_epa_per_play,play_count,ra_epa_total_impact,display_name,position_group
205,00-0026257,0.06486593610134263,906,58.76853810781642,Quintin Demps,DB
206,00-0026267,-0.160084375279269,352,-56.34970009830269,Jacob Tamme,TE
207,00-0026270,-0.18570353941096163,105,-19.49887163815097,Tony Hills,OL
208,00-0026275,-0.11640923239580285,1631,-189.86345803755444,Josh Sitton,OL
209,00-0026280,-0.04873091634054036,4022,-195.99574552165333,Brandon Carr,DB
210,00-0026281,0.08263358441776979,1046,86.4347293009872,Gary Barnidge,TE
211,00-0026283,0.03732863691001287,2331,87.01305263724,Orlando Scandrick,DB
212,00-0026286,0.001369133742903904,385,0.5271164910180031,Jerome Felton,RB
213,00-0026289,0.12044667968095336,357,42.99946464610035,Tim Hightower,RB
214,00-0026290,0.07333252717425758,1474,108.09214505485566,Breno Giacomini,OL
215,00-0026292,0.03420643004673043,611,20.90012875855229,Letroy Guion,DL
216,00-0026293,0.010940367871314126,2794,30.56738783245167,Matthew Slater,WR
217,00-0026298,0.13085829979356453,333,43.57581383125699,Kellen Davis,TE
218,00-0026300,-0.1315754416861858,393,-51.70914858267101,Josh Johnson,QB
219,00-0026307,0.09985898747917266,1565,156.27931540490522,Erik Walden,LB
220,00-0026327,0.056000415562720306,2420,135.52100566178314,John Sullivan,OL
221,00-0026330,0.06968119890579971,928,64.66415258458213,Ahtyba Rubin,DL
222,00-0026345,0.059738282667164924,1662,99.28502579282811,Pierre Garcon,WR
223,00-0026370,-0.03009566507530935,838,-25.220167333109234,King Dunlap,OL
224,00-0026373,-0.19370324532598154,270,-52.29987623801502,Justin Forsett,RB
225,00-0026393,-0.11172975414527633,95,-10.614326643801252,Marcel Reece,RB
226,00-0026408,0.02797696508774357,500,13.988482543871784,Joe Reitz,OL
227,00-0026493,-0.4947347226187187,136,-67.28392227614574,Tanner Purdum,SPEC
228,00-0026498,-0.08396212561492594,7699,-646.4244051093149,Matthew Stafford,QB
229,00-0026500,-0.002781334375276195,1953,-5.431946034914409,Matt Slauson,OL
230,00-0026502,0.014454772721585718,1234,17.837189538436775,Ricky Jean Francois,DL
231,00-0026512,-0.01680179958790295,1262,-21.203871079933524,Chris Baker,DL
232,00-0026516,-0.012975769523224457,716,-9.290650978628712,Britton Colquitt,SPEC
233,00-0026544,-0.20173093653297633,395,-79.68371993052565,Chase Daniel,QB
234,00-0026561,-0.03485018082871298,4385,-152.8180429339064,Ramon Foster,OL
235,00-0026564,0.045738294667489264,3104,141.97166664788668,Steve McLendon,DL
236,00-0026578,-0.09835210392297815,120,-11.802252470757377,Colt Anderson,DB
237,00-0026618,0.0072053866582084194,3111,22.415957893686393,Michael Bennett,DL
238,00-0026625,-0.24039169416331005,1077,-258.90185461388495,Brian Hoyer,QB
239,00-0026672,-0.022787302873302474,1558,-35.50261787660526,Ramon Humber,LB
240,00-0026714,0.18769529664566406,680,127.63280171905156,Nick Sundberg,SPEC
241,00-0026725,0.039545716250514416,512,20.24740672026338,Dan Skuta,LB
242,00-0026739,-0.03573798548082575,563,-20.120485825704897,Jordan Norwood,WR
243,00-0026762,-0.012481998232299153,1883,-23.503602671419305,Alex Boone,OL
244,00-0026784,0.06031820057744912,1174,70.81356747792526,Evan Smith,OL
245,00-0026814,0.029795823616698816,4398,131.0420322662414,Demar Dotson,OL
246,00-0026832,0.11366765147863397,1449,164.70442699254062,Jonathan Casillas,LB
247,00-0026839,0.11533802265013009,3311,381.8841929945807,Jermey Parnell,OL
248,00-0026844,-0.26199821486622765,454,-118.94718954926735,Garrison Sanborn,SPEC
249,00-0026855,-0.057599680698213106,71,-4.089577329573131,Antone Smith,RB
250,00-0026857,0.042610944292661684,586,24.97001335549975,Dannell Ellerbe,LB
251,00-0026858,0.0442668169982042,907,40.15000301737121,Graham Gano,SPEC
252,00-0026898,-0.6749432519699503,112,-75.59364422063443,Mark Sanchez,QB
253,00-0026901,0.021362971590160065,1692,36.14614793055083,Mike Wallace,WR
254,00-0026910,-0.006831972645075919,376,-2.5688217145485455,Greg Toler,DB
255,00-0026929,0.05562430888015221,62,3.448707150569437,Andrew Gardner,OL
256,00-0026932,0.12250586306257909,127,15.558244608947543,Cedric Peerman,RB
257,00-0026935,-0.06948799489566664,1554,-107.98434406786595,Brice McCain,DB
258,00-0026944,-0.012486771303144023,1726,-21.552167269226583,Captain Munnerlyn,DB
259,00-0026950,0.1688601014702121,3538,597.4270390016104,A.Q. Shipley,OL
260,00-0026957,-0.10159742635992007,413,-41.95973708664699,David Johnson,TE
261,00-0026964,0.0046690064394313635,1714,8.002677037185357,Clinton McDonald,DL
262,00-0026968,-2.7478120987761236e-05,775,-0.021295543765514957,Ryan Succop,SPEC
263,00-0026980,-0.052336742602541585,475,-24.85995273620725,Tyson Jackson,DL
264,00-0026982,-0.03741856995113099,1599,-59.83229335185845,Andre Smith,OL
265,00-0026983,0.0032701449528195915,1058,3.459813360083128,Darrius Heyward-Bey,WR
266,00-0026986,0.022027579691232663,2421,53.32877043247428,Michael Crabtree,WR
267,00-0026989,0.08098041830449804,2449,198.3210444277157,Brian Orakpo,LB
268,00-0026990,0.08380551165130554,7517,629.9660310828638,Malcolm Jenkins,DB
269,00-0026991,-0.07152841038427261,960,-68.66727396890171,Brian Cushing,LB
270,00-0026994,-0.005675329665208678,1274,-7.230369993475856,Robert Ayers,DL
271,00-0026995,0.013337103646498174,1233,16.44464879613225,Jeremy Maclin,WR
272,00-0026997,0.11141766689157806,6994,779.2551622396969,Alex Mack,OL
