gsis_id,player_display_name,position_group,total_games,pass_share,completion_percentage,yards_per_completion,tds_per_completion,rush_share,yards_per_rush,tds_per_rush,reception_share,yards_per_reception,tds_per_reception,epa_per_snap,ra_epa_over_replacement
00-0033633,Tanner Gentry: 033633,WR,1,0.1015741192043488,0.611424008333441,9.943464691845042,0.029653478724908092,0.026503068387521703,4.2919326335476065,0.021687152237646168,0.09322168026285974,12.601511573327045,0.06111091644928302,0.014546159991679837,0.025365332425616713
00-0033658,Blake Jarwin: 033658,TE,9,0.0750209845181968,0.6141767709887513,9.926874763578777,0.02963934276322066,0.023479432913556374,4.2115116438680795,0.021161293515600584,0.06888159298908865,10.521964950076786,0.06071181987856055,0.009908118080343479,0.018845821778964402
00-0033662,Cooper Rush: 033662,QB,19,0.47536383858992226,0.5624343113043594,11.085603031671898,0.04763092648628826,0.04589777759580102,4.752107397245761,0.02940893636868481,0.007136959604974417,9.784916621681353,0.050020186076653254,-0.016485615240453343,0.06363464892649848
00-0033681,Keelan Cole: 033681,WR,42,0.05599863479568212,0.6113990717354465,9.94346469184505,0.029653478724908085,0.019691938355146956,4.29182788609755,0.021686311548398687,0.06564393372299558,12.656361185013777,0.0615277241450105,0.014521735081571348,0.015865108997421228
00-0033699,Austin Ekeler: 033699,RB,58,0.062444141117815335,0.6138069070503299,9.911688461578706,0.02966523889168835,0.1891551251093443,4.261190361199161,0.0260381610857916,0.06909105139733664,7.870685212526711,0.04322648639955324,-0.005794768019432165,0.04327617051699894
00-0033720,Colin Thompson: 033720,TE,3,0.10294303062854944,0.6141767709887513,9.926874763578773,0.029639342763220666,0.02714413596014596,4.21151164386808,0.021161293515600588,0.07642347337233578,10.541855146219437,0.06063405904156751,0.009914981925627456,0.010670158129869411
00-0033725,Corey Clement: 033725,RB,19,0.06828660555898103,0.6138069070503296,9.911688461578699,0.029665238891688386,0.08082969086182733,4.261521355833276,0.02333358915132636,0.033568096475086025,7.879428316429311,0.04291261743975535,-0.005767706847323655,0.005988477434409015
00-0033729,Cameron Johnston: 033729,SPEC,1,,,,,,,,,,,,0.09548978397054024
00-0033733,Greg Ward: 033733,WR,25,0.05737562761207571,0.6114330900117783,9.943426076779852,0.02965346466930814,0.020055860933293156,4.29115986143424,0.02168514824863409,0.06650293922037977,12.301018063376462,0.06313706094665668,0.014533372163925404,0.021611718443816787
00-0033757,Robert Tonyan: 033757,TE,53,0.059791004308542534,0.6141767709887508,9.926874763578772,0.02963934276322068,0.02083750110615616,4.211511643868078,0.02116129351560056,0.07033999629750909,10.521926703143654,0.061682866418550295,0.00995565970296681,0.008891616818614948
00-0033791,Brandon Wilson: 033791,DB,17,,,,,,,,,,,,0.017464785256255274
00-0033793,Corey Levin: 033793,OL,1,,,,,,,,,,,,0.019967111191961977
00-0033798,Mason Schreck: 033798,TE,3,0.10343643777926793,0.6141767709887513,9.926874763578773,0.029639342763220666,0.02719854414619698,4.21151164386808,0.021161293515600588,0.07717295735638093,10.523488551075436,0.060299765644941154,0.009914137032996593,-0.0016428517881590596
00-0033839,Dede Westbrook: 033839,WR,17,0.0610862593996249,0.6114240083334412,9.943464691845048,0.02965347872490809,0.020617741429811272,4.291932633547608,0.02168715223764617,0.057136919315072816,12.498916015281154,0.06082708632526661,0.014448082418906005,0.059263843617813644
00-0033840,Chad Hansen: 033840,WR,5,0.07968946860754389,0.611424008333441,9.943464691845042,0.029653478724908085,0.0236999910159294,4.2919326335476065,0.02168715223764617,0.08611736944764659,12.644024260517188,0.0610921645166836,0.014571154097901329,0.01771824469879121
00-0033854,Dare Ogunbowale: 033854,RB,36,0.06623930732283197,0.61380690705033,9.9116884615787,0.029665238891688366,0.08304460684163957,4.250944362925306,0.022982863319104645,0.03770833400417698,7.8414771418280145,0.042752553718685554,-0.005848102688190817,0.04339711395690076
00-0033856,Leonard Fournette: 033856,RB,50,0.0634808275820462,0.6137898963579003,9.911688461578706,0.02966523889168835,0.17654128119388654,4.2498941756772135,0.02492846473035324,0.06254375210130712,7.746206019385702,0.04258004807756956,-0.005740404280284261,0.13657288069458642
00-0033857,JuJu Smith-Schuster: 033857,WR,53,0.055153691126803364,0.61142400833344,9.943464691845056,0.02965347872490809,0.019700609696309185,4.291782895168894,0.021719725294794497,0.0851088314928511,12.121437017982124,0.06081174766782603,0.01459008313196149,0.0575713107538121
00-0033858,Jonnu Smith: 033858,TE,57,0.059572929810846956,0.6141643714874088,9.926874763578773,0.029639342763220684,0.021841952853837637,4.211494845155427,0.02116631483352343,0.06967458092766797,10.556895327874773,0.06087292664618444,0.00989740054144069,0.04548608487451668
00-0033859,Josh Malone: 033859,WR,3,0.08907598125897703,0.6114240083334409,9.943464691845044,0.029653478724908092,0.02545155108194326,4.2926780690253175,0.021685869343799177,0.08458215375419821,12.52945628882177,0.060989490758377715,0.014519925280551849,0.02244992026659235
00-0033863,Dan Skipper: 033863,OL,1,,,,,,,,,,,,0.038327118105722716
00-0033869,Mitchell Trubisky: 033869,QB,27,0.5074457859307112,0.5678892735079755,10.96869640812094,0.04806214340805064,0.056454843716949546,4.758979757805673,0.03189525578729741,0.007084800165814545,9.784916621681358,0.05002018607665328,-0.015319580278112846,0.11448368306097065
00-0033871,Corey Davis: 033871,WR,37,0.056076485784785274,0.6114240083334408,9.943464691845046,0.029653478724908092,0.019640241322376774,4.291932633547605,0.021687152237646157,0.07654905009282024,12.944234144312464,0.06209379136022601,0.014624817708590717,0.04710743622508751
